node_pub,degree,total_capacity,pagerank,eigenvector,closeness,betweenness,clustering_coef,core_number,liquidity_density,bridge_score
03bd3466efd4a7306b539e2314e69efc6b1eaee29734fcedd78cf81b1dde9fedf8,3,247200,4.935164133463211e-05,3.8528621334221016e-18,0.19129289119838777,0.00021627618726920565,0.0,1,82399.99997253333,7.209206239903785e-05
03c3d14714b78f03fd6ea4997c2b540a4139258249ea1d625c03b68bb82f85d0ea,1,37200,1.4515182253947759e-05,1.34503970965466e-23,0.1602840578010144,0.0,0.0,1,37199.9999628,0.0
02eccebd9ed98f6d267080a58194dbe554a2b33d976eb95bb7c116d00fd64c4a13,17,11734955,0.0005984279993625184,1.9921967929150518e-13,0.2305402391314187,0.0007090379818075305,0.11764705882352941,7,690291.4705476299,4.170811657446014e-05
02ee4469f2b686d5d02422917ac199602ce4c366a7bfaac1099e3ade377677064d,12,6707000,0.0004132672608716107,1.7496181174302779e-13,0.23097215208136515,0.00025230932880044194,0.15151515151515152,7,558916.6666200903,2.102577739828468e-05
03cbf298b068300be33f06c947b9d3f00a0f0e8089da3233f5db37e81d3a596fe1,69,6498204,0.000779621533423956,2.0527816101536936e-13,0.23716511684894642,0.004750663481798289,0.021312872975277068,7,94176.86956385251,6.885019538738317e-05
022e74ed3ddd3f590fd6492e60b20dcad7303f17e1ffd882fb33bb3f6c88f64398,2,3000000,0.00015629916866387889,5.153424877719725e-17,0.18753811523682437,0.0,1.0,2,1499999.9992499999,0.0
035f1498c929d4cefba4701ae36a554691f526ff60b1766badd5a49b3c8b68e1d8,50,9802309,0.0008441170533046323,6.43800820071313e-15,0.21150403079140245,0.002125896208989496,0.009795918367346938,6,196046.1799960791,4.251792417893956e-05
02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,22,175496,0.0001933457854453982,4.425485851955677e-18,0.22249450099557327,0.0011738634198445548,0.008658008658008658,5,7977.090908728314,5.3357428172327154e-05
03a315ef609658cecfedca712ddad3a7ef5caad73911cb0cd0c73fefa5af347f5a,1,15000,2.224945510079293e-05,6.2296213755255365e-24,0.18162562670171234,0.0,0.0,1,14999.999984999999,0.0
0269ba746a03bb9b8225c4e78a85b5b8674a5b45ac425860944922460e94241932,1,10000,9.899492880804666e-06,3.6156981442329574e-24,0.1602840578010144,0.0,0.0,1,9999.999989999998,0.0
02c0ac82c33971de096d87ce5ed9b022c2de678f08002dc37fdb1b6886d12234b5,16,1364536,8.527551543445336e-05,7.028719177500581e-09,0.29114054628571745,0.002909404616381967,0.06666666666666667,7,85283.49999466978,0.0001818377885125081
03b7ca940bc33b882dc1f1bee353a6cf205b1a7472d8ae24d45370a8f510c27d23,30,17172472,0.0009066516381825856,1.2178843155839374e-14,0.21651471201115904,0.0007401257466450492,0.059770114942528735,6,572415.7333142528,2.467085822067928e-05
02b424210e505a4e37c2c44a34f5a2fadb0f285afa554531aa1c8461a8e42ef6cc,1,500000,3.0641629903637267e-05,5.714622343158951e-19,0.17762110313175616,0.0,0.0,1,499999.9995,0.0
0207481a19a3f51a48f134e95afa67cfeffdb38a99b5ad3494a320c4918aaaf579,11,892050,6.425846767180225e-05,9.285381010207808e-13,0.22925119820574447,0.00018262909951226905,0.07272727272727272,6,81095.45453808222,1.6602645408696947e-05
02e7ac300471ac96db1ecc52f3f4e2bf26a3cd3cfb1e8ba68f2b6fadc4ab37440e,1,500000,3.0641629903637267e-05,5.714622343158951e-19,0.17762110313175616,0.0,0.0,1,499999.9995,0.0
02ef61a252f9504a42fc264a28476f44cea0711a44b2da0bd729ad52aaee9d86b7,12,1637001,0.0001102024534747369,1.1784770750475483e-15,0.20872335757057348,8.109425175926745e-06,0.19696969696969696,6,136416.74998863193,6.757854312709133e-07
0387e3780a4325eb38421fb83000a6f6c0ffa4a69ea0c81db3f00e8e5015c9e8a1,15,6956268,0.0003708231250273739,6.54156621594093e-15,0.2177808182165749,0.0003326727452702838,0.009523809523809525,6,463751.19996908325,2.2178183016540376e-05
039a8f88dca257f4f67a2c65bfcc6ab1d398488334d3b3a78d514c8e3f6638a903,7,2890000,0.0002065262700865006,2.3797112780047904e-17,0.19729078438664302,0.00011041349981405676,0.23809523809523808,5,412857.1427981633,1.5773357114040487e-05
028e5a8e86540f703e1f58880d35d1e318a54c27d84ec1edbcde04a78ed4469a1e,2,460000,3.685461928191028e-05,2.7966945262018334e-19,0.17902637559702098,2.189941819505389e-07,0.0,2,229999.999885,1.094970909205209e-07
022d065a059294ff8796cf0b9df467ba76420c62eda92771a4063d15e7170020e0,1,10000,9.281105276635426e-06,1.2762677832362635e-20,0.19641502513365494,0.0,0.0,1,9999.999989999998,0.0
02ef8eee471a04b6f5bc9eb69a2ea9625e71f3b93a5ee7dc6350474730cd1f29c9,8,244934,3.1078989188684593e-05,1.3599786724758656e-14,0.24510270494542102,0.000301703408196935,0.10714285714285714,6,30616.749996172905,3.7712926019902754e-05
02aa1951e4ed245c24814d883a9466b0ae07e02c0cde3cbfecf39c6e978a69f2f0,2,40000,1.0627450175354127e-05,4.7050411891316334e-20,0.1969451864367325,0.0,1.0,2,19999.99999,0.0
02fb74056358782bf2b555c80807fa29c9ddfbe5051cfadf2eb83871c155544391,3,30050,1.0983988251233176e-05,1.6078563764709795e-14,0.23983793764660005,6.538927801971209e-05,0.0,3,10016.666663327778,2.179642599930522e-05
035bfee56cc75cbfa0f16d4466094bac0a796065d0aec6b5d44031091578053c05,1,80000,1.636112037109892e-05,1.5411448533487008e-18,0.19128470351712432,0.0,0.0,1,79999.99991999999,0.0
03204b29fe80bbdb895b50f40fb81a78ccc53f2de8eca6bb234facffdbf783ec96,2,62675,5.8256405952214396e-05,3.573548655027403e-28,0.16372056162297446,0.00010814108442735765,0.0,1,31337.499984331247,5.407054218664355e-05
03e1473327b820a88ba6c35f158ef82953ae356e0b3f7ffecf2c88455a52ebf7c1,1,61575,5.686114670653963e-05,2.0649771065766094e-33,0.14046312620309534,0.0,0.0,1,61574.999938425,0.0
03dbd26bedb44490bfbf19c876f41c4561e3c650517a6c6ba77cb5e581b0b886b8,9,107250,2.452585985350874e-05,2.807601503924029e-12,0.24506574381368615,0.00014978237464289589,0.19444444444444445,7,11916.666665342593,1.664248606958371e-05
03c488af616e8d661246d69fa03897a90cb04d11091d30d07d2c620a00c6b5ffe9,1,700000,5.9441969764407946e-05,4.229219652835346e-19,0.1742348432488556,0.0,0.0,1,699999.9992999999,0.0
02478048fe0559e5434c7875308a2f4a5825e8d1859f86503bfcff77bfe93c1944,2,700000,4.4515996116842165e-05,9.468699123064805e-18,0.18800358292569108,1.7925248914286973e-07,0.0,2,349999.999825,8.962624452662174e-08
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,47,3526008,0.0002878303904110513,1.3082010200000915e-11,0.2642745100378359,0.002266810621140277,0.06290471785383904,9,75021.44680691445,4.823001321472441e-05
03bbfa47fb638200e2369c31589d5bc04a4b12b2f7a3cb4b1977bb1e467e3d2aef,1,400000,2.554143877232003e-05,7.47829142067275e-18,0.18695169088568644,0.0,0.0,1,399999.9996,0.0
029cf833ceef83b31b2e202d46c99c2dc9b5fa56259d8b84d128ee37e65e4e96d3,2,6234,8.640361407290746e-06,1.2196560164215411e-14,0.23915130212430047,3.1791528184083955e-05,0.0,2,3116.9999984415,1.5895764084094094e-05
020f27295ad01c16f8d77360c9187e3101b026513f5baf3357c2ba0b0afc5069ee,2,180806,3.870262368833978e-05,9.716314837523986e-20,0.1822645080240351,1.43408131650499e-06,0.0,2,90402.99995479849,7.170406578939746e-07
0271d98f7dfe66198f045690f552a9126abb0aa1585f0061854e780b7e08e6dccd,7,370230,3.742930469839317e-05,2.9870896161146635e-12,0.22874077980434462,0.00019478256291064635,0.047619047619047616,5,52889.99999244428,2.7826080411831467e-05
03aa6a60bc8570d057de350cd10dc9d988f14321dd3a225e81d9ca01b51674aae7,3,14506,1.0717479909333521e-05,3.416132574471129e-14,0.24116127515971908,3.635069885259951e-05,0.0,3,4835.333331721556,1.2116899613494203e-05
038182a74b030bca74c1bd92c55d38537cd7ee72a25c6d9f4d694e972fc663fcfc,2,200000,2.2918933614615806e-05,3.6746065151730917e-17,0.18895746189407894,1.2716055304112736e-08,0.0,2,99999.99995,6.358027648877354e-09
034fe030b88d6439af1d7cd9067b1a4b7b28a3b31fd5f43ebb47547213a79df3f6,3,701050,4.0879456568666154e-05,7.103859247562883e-18,0.22050203750403147,3.5457826769589182e-06,0.0,3,233683.3332554389,1.1819275585923302e-06
022c715b377856f5e176c52dfbe1f19b0283c4a85d563b1f09a9c7d9b6820ec375,30,4820425,0.00030538357291317567,6.251819148261255e-11,0.23397406754301972,0.0006838056437494129,0.09195402298850575,9,160680.8333279773,2.279352145755398e-05
03d40a4ade94703907f83e0b74fc07633db6d0842fad6aae6c4acef3bfb09d5fa4,3,9201050,3.017875431753369e-05,3.2786697266381323e-06,0.2683487552913615,0.000295221698990711,0.3333333333333333,3,3067016.6656443276,9.840723296410125e-05
020976875f2a90838859bcdb280b6dacdcc0a9854764b5ff02b138ac9ca91a5e8c,8,1526100,0.00010589961253684978,1.1922959391062332e-15,0.20332716116526958,5.3688193236240036e-05,0.0,4,190762.49997615468,6.711024153691127e-06
03b1f5e0dba78daa1f5a64a9a0cb032f774267feff3ecef2cdedb268d00876975f,1,1000000,5.154977454331169e-05,1.8695728551681878e-17,0.18695169088568644,0.0,0.0,1,999999.999,0.0
02b813dcf53442e2ba8ac0b7911dc31ab0b62fda5e55b30388efb6c39a8ee54d3c,2,490000,3.264384453252394e-05,1.2321327662256097e-16,0.20876723364424413,0.0,1.0,2,244999.9998775,0.0
03f3ba88c3e9e68b10f8c1e877252a157291ddc24aa378e9cb6f8b3bd0fed2e706,2,201050,1.910487841454346e-05,1.1763460139968192e-15,0.20562385040304287,8.6556215897071e-08,0.0,2,100524.9999497375,4.3278107926896444e-08
024b82d69859d63f9fce375041a34e61f4bfd445494b41d873ae7505322323d384,46,24335410,0.0009377192705701312,5.196254728341939e-08,0.2804128734508131,0.002139870861059842,0.05314009661835749,9,529030.6521624124,4.65189317611592e-05
02a5487cab84e33cacf424633e7520cfb3fce51aeaab41942ab01e72fb49d166f6,2,250000,2.5155405145312473e-05,1.1735410592321107e-15,0.199026048859254,7.332280845772593e-08,0.0,2,124999.99993749999,3.666140421053226e-08
0371190acfb2e92bd1faa6ce4d12ff248798515a92ac903ac14d31b5172d9b2917,43,3194763,0.00046476259114646584,3.0851183350759925e-14,0.24339075363853305,0.0021528475950388167,0.021040974529346623,7,74296.81395176055,5.006622313927327e-05
02f22e950ad176c0b87d577bf2b8cd1e6d54a6265208533e1476d31e5127a739b5,1,25000,1.003252759782853e-05,1.5104355902983382e-20,0.1742348432488556,0.0,0.0,1,24999.999975,0.0
03867da6ba2e32bd6e6e32de8cc010711eeabd73235d6e49544a9229b02b3d35a2,2,370000,3.044877580088915e-05,1.466817873289321e-15,0.18938184698536265,7.32702581643411e-07,0.0,2,184999.9999075,3.663512906385299e-07
038ae17eed1d1e30bcdef2f8f986c343b87d90cf57b5b36039dfb1049815baf4c6,1,200000,1.8972409628685143e-05,1.1733962979047892e-15,0.18920345338254205,0.0,0.0,1,199999.9998,0.0
