hub,outbound_before_msat,outbound_after_msat
034b025cd658515f37bb125b6ef040f428b0ce678253c805358e9db60c40d9f96a,1518813080250,245388972401
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,757283100750,75139983970
02d0e03736cbfc73f3c005bc3770327df0e84bd69bc8e557c279887344deb8bce2,606629268500,77761056596
02b2ae15001601b74eee8ddbd036315c5fbd415b24f88f24d5266820169dfd13de,403027215000,53557134390
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,475000000000,67294809448
03cfea610d8b0e2431dda4770898a5389bdacc0f95b630420bd21bd73abb8a913a,516497467500,66631242402
03b428ba4b48b524f1fa929203ddc2f0971c2077c2b89bb5b22fd83ed82ac2f7e1,925527215000,101127372859
02b45e6448588de24daf7c773a674ecbcd3cce3bf2cf27428d1ddbf1e6ca034684,222727215000,24191509669
039f0ad37eef3e1813ebe825d2d91908914a2c3ec1b2047fda6a9fedce3a6f63dc,2009405581250,271212140051
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,1733980828250,250720369287
028ca942be25308d5077811a2c2a3e18dcc25267d39ebff9081e3deb8124a45317,311809715000,27798817656
0289b70b52a04e951446674bedb571336295a2890ca0079639ebc067076277d571,351997572000,61814228733
0340796fc55aec99d8f142659cd67e19080100a98ea14e8916525789b57e054eb3,472105241750,80133022642
02112b4f5c4b81ece8f4bb93694aff2177f12ce9db95abe9e5d51a332c8d303e34,116500000000,12133908754
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,721449223750,81647543134
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2056086452500,311342044882
02868e12f320073cad0c2959c42559fbcfd1aa326fcb943492ed7f02c9820aa399,299145245250,38544208011
03279fc82bf354280cdae4c84033f856606cbe2d431d7cafa4387329dbd5ae529f,307133922250,37710706152
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,1644746880250,242508040008
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,1996002260500,404384736502
03eefcc2c803a4aad64d92a5633d8c6f75d6b72827d099d9cb31a82a0615dcc767,441478137500,44541085548
02816caed43171d3c9854e3b0ab2cf0c42be086ff1bd4005acc2a5f7db70d83774,1794325862000,283977102038
0296b46141cd8baf13f3eff9bb217c5f62ce0a871886559d661af0ef422c042d4b,1972639105750,260378570739
03baa70886d9200af0ffbd3f9e18d96008331c858456b16e3a9b41e735c6208fef,1828086094000,263921716526
02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5,489814556250,53020487625
026d74f689f81a7d0afb3a87a529af8940cf25b6c3ddd81f7a809edfc30c2cb59c,636384243000,65239274610
02bb5b3f1157388dbca0f5dc675e7dd73ed8b3052a2beff293ccff20702f660b7d,591575252500,51826481787
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,1383007649250,223319346523
035360b3bf6a997ed1bb943ccca2b7ef969b1e25a1ee1322d3c8acca7e34468edd,186024031500,9065833223
0378d8b9a46189371ece70870b39e8a80f80f952c967289d7234b99b176577a212,215050000000,20540181587
02769a851d7d11eaeaef899b2ed8c34fd387828fa13f6fe27928de2b9fa75a0cd8,110000000000,8370141398
0325bb9bda523a85dc834b190289b7e25e8d92615ab2f2abffbe97983f0bb12ffb,1336088162250,150129976588
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,278732921500,41384427092
03673a51181ab41737b0bcf191ea65cc5a925e42b07449ef915a3ea99323a46adb,554083976250,84871263151
0256bf97644dd1d839aadd76e2351c1b6bb8173bb9f5ea4affb07075f880e52302,888051547000,141121857354
0230a5bca558e6741460c13dd34e636da28e52afd91cf93db87ed1b0392a7466eb,1292173471750,179367798710
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,2138011644750,331285270533
02459b759a62bc3ebfe98a320da237944cc4f35456384bd8fdefa7d0340c75f46f,190799270750,22249151703
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,1979455554500,276126483520
0251fff168b58b74e9b476af5a515b91fe0540a3681bc97fbb65379a807aea5f66,381825663500,38958455001
03b23046078ca0ea286980a53fc90ee9016553e8109a9bc00f311a6c682184b881,411868860000,63882953323
021e7ea08e31a576b4fd242761d701452a8ac98113eac3074c153db85d2dcc7d27,284800000000,39209134966
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,1977894451250,314202692668
035352d5960c7f86263e079f29707144088709332e781246b306370ca7e0a64183,1181891515500,176407507763
0395a7b27c7597efab6af5806081e6f4d9e65003b100b6d6ace892bcfdbcb5e741,710619284500,85858186172
03c2b5e97173e2ff7baea106a34a165e0213b6c5148441ea97785b35a78a506299,228211933250,27341038459
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,990570671500,167550610457
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,1788214714000,225715424367
0363d0f07cfe19306660249381b60a6ee765ca2fd47b3e4b502c820c2be63918a0,418414556250,44486608137
03a6daac0ca23f681f86f7a3dba5674ae5eaa5c171571ab1ece5bf10c0ad7b4c4e,856505204500,110107405113
03ecef675be448b615e6176424070673ef8284e0fd19d8be062a6cb5b130a0a0d1,62655746000,12580175981
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,1513400306500,236440279056
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,1728468295000,242840197241
03ac80cae732282e57f23c8c5dc5ae5dd86a77dcb378213c36cecfd28a2aa04339,981878833750,94858008712
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,1606808450000,256868693593
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,1218470232500,185257412917
03c25e4b46df0f2a9e97d39ffe977c31ffa503c6ec7eb2b5b87ed630e15dfdbc0a,101739247000,3884837431
02150e753d33ecf6d2de4173cc1ce941d9bf8900de7f4407ac3df5e078df91dcce,292390925000,47466875838
03a9ac776da7955200d3e1fc7c848c93241ad4b87673ce8506bec0d1b298179d98,109844673500,5950043590
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,1504963610750,236147934811
02234cf94dd9a4b76cb4767bf3da03b046c299307063b17c9c2e1886829df6a23a,712000000000,61136472784
02a4002deca0ad6781b1c55ea5c692faae768fef44e1997c5723cb5393a98709ae,623114442500,83209082138
033878501f9a4ce97dba9a6bba4e540eca46cb129a322eb98ea1749ed18ab67735,1013165232250,130600586966
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,2052815899250,258231413245
02fb79c3a9121d85b126687bd111eaebf21aaaaa5cbf232e2b6c3bdf8803f40182,166421877750,18569177478
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,729597779750,104532243011
020a3dce2dab038955eb435a8342e4fe897304015314485d3738d5f41eccb47859,604950000000,92215719229
02d22dd92ceefe7a23fdd59f62278813aef9276f1a3c2e82a7e0329b0f732e9e06,98414635500,15142469087
0333175e2ddb8ae3fab14125c312cf62b9da6dc54fc922edd1aa11e4e059496594,377408614500,51820016827
03ecb39d80deaf6a934bac97ba514ef9709560e765c6408fef3ae8f9bc2c9f5854,130462235500,17795249989
0367e072b7b6e40e5df3fbf8701bf1bc7efce021a5702dac7d0a9be7bb59f1f01c,226227387000,30564338144
022e370ba562abb4fb3cf02863a0b87df3ea8695b0d741ee702940fe64e149ccc7,265150233500,41996427196
02eb22c17b10512b1fc38a90156292d4813209ef2b3d7ae7a260029f1eb742de96,205510601000,14586490404
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,2178738194250,359282060532
02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c,1908981448750,205633564787
0284a249ee165723f01ae08dc340f9f60bcbce8dda2140401f1bd7548ef11dd5e6,428456970000,43970640202
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,395736574250,57017838167
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,898546461500,137666679795
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,2412506911500,354294913200
02fcce875f251cf2d873caad093776a40743e3a412dcb60648b45d872413a691bc,133577215000,12501526689
032d5a4b5a6a344ca15f6284e3e149f4716a1af782ffbb0194e0dadc077051acf0,253273508250,26802437557
022eae8c2a9a8b02dec48e793dbd95ba322cbcfc84ddab573c1a85512bfc4ad7a7,375741427000,54354795714
02651fa5f3f6676c6f13d88b3ffd3101421cd3bd1773d4af92242c46f0f902ef39,285521804000,37854683013
026c1b6c244337dda45ef965358e721019374bbbf17a59bad9e5b9ddce6d1b74e2,459675000000,53644378311
0391b71b1e30cce2f0e25dbe4ce848c19e159d1677a8368d1eb3e50a34d14f74f4,75549881250,8876958826
03ec512342aeee370b53d9fd12dbd5283dcd670d248018b3a1cf537313e76e6a2d,956553487750,134570820521
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,1974953615000,222312628874
037b3340c93ec145c4cc960762e0f22902e9412484ead2fce9ce275f6e8409b212,586634159250,78828970001
02ac10d3b0a3da8434898323f75b97281e157fd858c2fb761d1994941aac515d1c,368547024750,48010904862
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,1927402408250,218131528111
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,831309531500,110826153518
